exp_number,height,width,n_persons,n_items,grid_layout,avg_arrival,n_steps,speed_dist,familiar_dist,vision_dist,n_objectives,grid_stepsize,list_subgrids
0,100,100,100,1,grids/simple_100x100.txt,1,20,"[[3, 2], [1.0, 0.0]]","[[1, 0.6], [1.0, 0.0]]","[[10], [1.0]]",8,0.5,"[[[4, 10], [10, 10], [10, 0], [4, 0]], [[0, 10], [3, 10], [3, 5], [0, 5]]]"
0,100,100,100,1,grids/simple_100x100.txt,1,20,"[[3, 2], [1.0, 0.0]]","[[1, 0.6], [1.0, 0.0]]","[[10], [1.0]]",8,0.5,"[[[4, 10], [10, 10], [10, 0], [4, 0]], [[0, 10], [3, 10], [3, 5], [0, 5]]]"
